id,e_address,e_city,e_state,e_postal,e_zip_full,e_country,loc_county,loc_area_code,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,loc_LAT_centroid,loc_LAT_poly,loc_LONG_centroid,loc_LONG_poly,biz_phone,biz_name,Service_1,Service_2,Service_3,Service_4,Service_5,cat_primary,cat_sub
1,315 Highway 90,Waveland,MS,39576,39576-2622,USA,Hancock,228,28045,920,,CST,Y,30.2913,30.306541,-89.3892,-89.376709,(228) 467-6647,Foxy Nails & Hair Spa,Manicure+U2:Y25,Pedicure,Foot Reflexology,Haircut,Hair Colour,Meni-Pedi,Hair Care
2,203 Kennebec Rd,Hampden,ME,4444,04444-1316,USA,Penobscot,207,23019,730,,EST,Y,44.7323,44.731755,-68.9137,-68.860821,(207) 862-5979,Country Cuts by Donna,Body Massage,Body Scrub,Body Polishing,Beard Colour,Beard Trim,Spa,Hair Care
3,726 Wilcrest Dr,Houston,TX,77042,77042-1348,USA,Harris,713,48201,,3360,CST,Y,29.74,29.756746,-95.5601,-95.576188,(713) 781-4351,A & C Hair Design,Eyebrows,Eye Lashes,Bridal Makeup,Facial,Threading,Hair Care,Skin Care
4,4425 Skidaway Rd,Savannah,GA,31404,31404-5230,USA,Chatham,912,13051,7520,,EST,Y,32.0515,32.028894,-81.0542,-81.069937,(912) 352-3661,Fountain Beauty Supply,Hair Massage,Foot Massage,Body Massage,Manicure,Pedicure,Spa,Meni-Pedi
5,152 S A St,Orofino,ID,83544,,USA,Clearwater,208,16035,,,PST,Y,46.7082,46.479678,-115.5587,-116.252625,(208) 476-4421,Headgames Hair & Tanning Salon,Body Massage,Body Scrub,Body Polishing,Beard Trim,Beard Colour,Spa,Hair Care
6,RR 1 Box 4970,Kellogg,MN,55945,,USA,Wabasha,507,27157,,,CST,Y,44.3011,44.3085769,-92.0397,-91.9957204,(507) 767-3023,Cindy's Country Cuts,Eyebrows,Bridal Makeup,Texturizing,Beard Trim,Beard Colour,Make Up,Hair Care
7,470 Westfield Rd,Charlottesville,VA,22901,22901-1642,USA,Albemarle,434,51003,1540,,EST,Y,38.0464,38.072145,-78.4686,-78.484132,(434) 973-3524,Grills Hair Styling,Eyebrows,Eye Lashes,Bridal Makeup,Facial,Threading,Hair Care,Skin Care
8,4546 E Broadway Blvd,Tucson,AZ,85711,85711-3510,USA,Pima,520,4019,8520,,MST,N,32.2154,32.221417,-110.8848,-110.895557,(520) 795-2526,AZ Nail Supply,Manicure,Pedicure,Foot Reflexology,Body Massage,Body Polishing,Meni-Pedi,Spa
9,2612 MacArthur Blvd,Oakland,CA,94602,94602-3206,USA,Alameda,510,6001,,5775,PST,Y,37.8044,37.798946,-122.209,-122.210559,(510) 531-3335,Attitudes Unlimited,Manicure,Pedicure,Foot Reflexology,Facial,Threading,Meni-Pedi,Skin Care
10,40965 Old Highway 41,Aberdeen,MS,39730,,USA,Monroe,662,28095,,,CST,Y,33.8251,33.9865886,-88.6185,-88.6015791,(662) 369-2224,Michelle's Barber Shop,Haircut,Hair Colour,Hair Smoothening,Facial,Waxing,Hair Care,Skin Care
